time,latitude,longitude,surface_temperature,spatial_ref
2017-09-30,16.625249999999998,-14.87475,36315.75,4326
2017-09-30,16.62495,-14.87505,36789.75,4326
2017-09-30,16.62495,-14.87475,36525.5,4326
2017-10-31,16.625249999999998,-14.87505,50794.5,4326
2017-10-31,16.625249999999998,-14.87475,50647.25,4326
2017-10-31,16.62495,-14.87505,50733.75,4326
2017-10-31,16.62495,-14.87475,50691.5,4326
2017-11-30,16.625249999999998,-14.87505,49213.0,4326
2017-11-30,16.625249999999998,-14.87475,49145.25,4326
2017-11-30,16.62495,-14.87505,49232.0,4326
2017-11-30,16.62495,-14.87475,49280.5,4326
2017-12-31,16.625249999999998,-14.87505,35540.75,4326
2017-12-31,16.625249999999998,-14.87475,35468.25,4326
2017-12-31,16.62495,-14.87505,35557.5,4326
2017-12-31,16.62495,-14.87475,35568.0,4326
2018-01-31,16.625249999999998,-14.87505,46940.25,4326
2018-01-31,16.625249999999998,-14.87475,46870.75,4326
2018-01-31,16.62495,-14.87505,46975.5,4326
2018-01-31,16.62495,-14.87475,47012.75,4326
2018-02-28,16.625249999999998,-14.87505,44807.0,4326
2018-02-28,16.625249999999998,-14.87475,44771.25,4326
2018-02-28,16.62495,-14.87505,44627.25,4326
2018-02-28,16.62495,-14.87475,44715.5,4326
2018-03-31,16.625249999999998,-14.87505,40293.0,4326
2018-03-31,16.625249999999998,-14.87475,40298.75,4326
2018-03-31,16.62495,-14.87505,40382.0,4326
2018-03-31,16.62495,-14.87475,40470.75,4326
2018-04-30,16.625249999999998,-14.87505,50995.0,4326
2018-04-30,16.625249999999998,-14.87475,50944.5,4326
2018-04-30,16.62495,-14.87505,51025.5,4326
2018-04-30,16.62495,-14.87475,51100.0,4326
2018-05-31,16.625249999999998,-14.87505,50943.75,4326
2018-05-31,16.625249999999998,-14.87475,50858.0,4326
2018-05-31,16.62495,-14.87505,50943.75,4326
2018-05-31,16.62495,-14.87475,50978.0,4326
2018-06-30,16.625249999999998,-14.87505,48222.75,4326
2018-06-30,16.625249999999998,-14.87475,48122.0,4326
2018-06-30,16.62495,-14.87505,48197.0,4326
2018-06-30,16.62495,-14.87475,48205.0,4326
2018-07-31,16.625249999999998,-14.87505,46485.5,4326
2018-07-31,16.625249999999998,-14.87475,46405.0,4326
2018-07-31,16.62495,-14.87505,46399.25,4326
2018-07-31,16.62495,-14.87475,46401.25,4326
2018-08-31,16.625249999999998,-14.87505,42609.25,4326
2018-08-31,16.625249999999998,-14.87475,42695.5,4326
2018-08-31,16.62495,-14.87505,42540.25,4326
2018-08-31,16.62495,-14.87475,42735.0,4326
2018-09-30,16.625249999999998,-14.87505,9935.25,4326
2018-09-30,16.625249999999998,-14.87475,10131.0,4326
2018-09-30,16.62495,-14.87505,9597.25,4326
